all_count,unmapped_count,mapped_count
1147449804,2768515,1144681289
1354852916,1898053,1352954863
1130802370,1199154,1129603216
1284951963,1584836,1283367127
1425188366,13589901,1411598465
1002041244,1164104,1000877140
1495938301,1907039,1494031262
1301375227,1555895,1299819332
1290683972,1658087,1289025885
1464341075,2016257,1462324818
1072520248,4110729,1068409519
1579452702,1871392,1577581310
1557375263,2023150,1555352113
1552771026,5939396,1546831630
1437432683,1772735,1435659948
1475376195,10346229,1465029966
1239405823,10948565,1228457258
1390568607,1564280,1389004327
1587338250,11969000,1575369250
1442388662,2776127,1439612535
1335142183,2082531,1333059652
1323820508,1916437,1321904071
1384663809,2803497,1381860312
1457448484,1955405,1455493079
1336355227,2815301,1333539926
1411959793,2519192,1409440601
1749317461,2705340,1746612121
1500031197,2518473,1497512724
1737504624,2198514,1735306110
1043059200,1437306,1041621894
1367825516,2642889,1365182627
1325034263,8530014,1316504249
1156833790,1160320,1155673470
1355020808,8611837,1346408971
1311871503,3110763,1308760740
1257436461,3326025,1254110436
1407923070,2080884,1405842186
1245229037,2062787,1243166250
1339497046,2454356,1337042690
1251062111,2149415,1248912696
1316666145,19134725,1297531420
1268812325,2076302,1266736023
1163149277,2068876,1161080401
1374583100,4531136,1370051964
1275096415,2376531,1272719884
1305127071,3709624,1301417447
